Market,ASEAN Market
Indonesia ST-BPS-S1,231
Select Client BPST - Existing,217
T0012333,28
AMERICAN EXPRESS BANK LTD,1
BANK INDONESIA,2
BANK INDONESIA CABANG SURABAYA,1
BANK RAKYAT INDONESIA,1
BPD BALI,1
BPD JABAR CABANG BOGOR,1
BPD JABAR CABANG TANGERANG,1
BRI SYARIAH CABANG JAKARTA,1
BUT STANDARD CHARTERED BANK,1
OTORITAS JASA KEUANGAN,1
PT AGRINUSA JAYA SANTOSA,1
PT ALLO BANK INDONESIA TBK,1
PT BANK BJB SYARIAH,1
PT BANK MEGA TBK,1
PT BPD JABAR TBK (BANK BJB),1
PT BRINGIN GIGANTARA,1
PT JAPFA COMFEED INDONESIA TBK,2
PT. BANK MEGA SYARIAH,1
PT. BANK PEMBANGUNAN DAERAH,1
PT. BANK RAYA INDONESIA TBK.,1
PT. BRI MULTIFINANCE INDONESIA,1
PT. BRINGIN INTI TEKNOLOGI,1
PT. CIOMAS ADISATWA,1
PT. SANTOSA AGRINDO,1
PT. SO GOOD FOOD,1
STANDARD CHARTERED BANK,1
T0012340,148
ARYADUTA HOTEL JAKARTA,1
"ASTRA CMG LIFE, PT",1
"ASTRA OTOPARTS TBK, PT",1
"ASURANSI ASTRA BUANA, PT",1
ASURANSI SINAR MAS,1
"BADAN METEOROLOGI,KLIMATOLOGI,",1
BADAN PENDAPATAN DAERAH,1
BADAN URUSAN LOGISTIK RI,1
BANK NOBU,1
BANK SINARMAS,1
BERITA SATU MEDIA HOLDINGS,1
CBN INDONESIA,1
"DIAN SWASTATIKA SENTOSA, PT",1
"DUTA PERTIWI TBK, PT",1
EKA HOSPITAL JAKARTA,1
FAST FOOD INDONESIA,1
INDOMOBIL FINANCE INDONESIA,1
INDOMOBIL NIAGA INTERNATIONAL,1
KEMENTERIAN BADAN USAHA MILIK,1
KEMENTRIAN NEGARA PEMBANGUNAN,1
LEMBAGA PENERBANGAN DAN,1
MEGA FINANCE,1
PERUM PERHUTANI,1
PINDO DELI PULP & PAPER MILLS,1
POLITEKNIK ELEKTRONIKA NEGERI,1
PT ARARA ABADI,1
PT ARTOMORO PRIMA,1
PT ARYA SHINTA FINANCE,1
PT ASTRA AGRO LESTARI TBK,1
PT ASTRA DAIHATSU MOTOR,1
PT ASTRA GRAPHIA,1
PT ASTRA GRAPHIA INFORMATION,3
PT ASTRA HONDA MOTOR,1
PT ASTRA INTERNATIONAL TBK,2
PT ASTRA-GRAPHIA TBK/AGIT ITBG,1
PT ASTRATEL NUSANTARA,1
PT ASURANSI AVIVA INDONESIA,1
PT BANK INA PERDANA,1
PT BORNEO INDOBARA,1
PT BUMI KENCANA EKA SEJAHTERA,1
PT BUMI SERPONG DAMAI,1
PT CENTURY BATTERIES INDONESIA,1
PT CYBERINDO ADITAMA,1
PT DENSO INDONESIA,1
PT FEDERAL INTERNATIONAL,1
PT FIRST MEDIA,1
PT INDAH KIAT PULP & PAPER TBK,1
PT INDO LOTTE MAKMUR,1
PT INDOFOOD SUKSES MAKMUR TBK,4
PT INDOMARCO ADI PRIMA/PEBAPAN,1
PT INDONUSA TELEMEDIA,1
PT LIPPO KARAWACI TBK,1
PT LIPPO TSK INDONESIA,1
PT LONDON SUMATRA INDONESIA,1
PT LONTAR PAPYRUS PULP & PAPER,1
PT MATAHARI DEPARTMENT STORE,1
PT MATAHARI PUTRA PRIMA TBK,1
PT MEGA CENTRAL FINANCE,1
PT METROPOLITAN RETAILMART,1
PT MORA TELEMATIKA INDONESIA,1
PT MULTIPOLAR CORPORATION TBK,3
PT MULTIPOLAR PERKASA,1
PT MULTIPOLAR TBK,2
PT MULTIPOLAR TECHNOLOGY TBK,2
PT NISSAN MOTOR INDONESIA,1
PT OKI PULP AND PAPER MILLS,1
PT PABRIK KERTAS TJIWI KIMIA,2
PT PAKOAKUINA,1
PT PAMAPERSADA NUSANTARA,1
PT PERKEBUNAN NUSANTARA III,1
PT PERS. DAGANG DAN INDUSTRI,1
PT PERTANI,1
PT ROLIMEX KIMIA NUSAMAS,1
PT SERASI AUTORAYA,1
PT SILOAM INTERNATIONAL,1
PT SINARMAS SEKURITAS,1
PT SMART TELECOM,1
PT SMARTFREN TELECOM TBK,1
PT SUGITY CREATIVES,1
PT SURYA ARTHA NUSANTARA,1
PT SURYARAYA RUBERRINDO,1
PT TEBO INDAH,1
PT TOYOTA ASTRA FINANCIAL,1
PT TOYOTA ASTRA MOTOR,1
PT TOYOTA AUTO BODY-TOKAI,1
PT TRANS COFFEE,1
PT TRANS CORPORA,1
PT TRANS RETAIL INDONESIA,1
PT UNITED TRACTORS,1
PT UNITED TRACTORS PANDU,1
PT VISIONET DATA INTERNASIONAL,1
PT VISIONET INTERNASIONAL,3
PT. ANTA EXPRESS TOUR & TRAVEL,1
PT. ASTRA SEDAYA FINANCE,1
PT. ASTRAGRAPHIA,1
PT. ASURANSI JIWA ASTRA,1
PT. ASURANSI UMUM MEGA,1
PT. CYBERINDO MEGA PERSADA,1
PT. GOLDEN ENERGY MINES,1
PT. INDAH KIAT PULP & PAPER,1
PT. INDOKEPPEL DATACENTRE JKT,1
PT. INDOLAKTO,1
PT. INDOMOBIL TRADA NASIONAL,1
PT. INNOVATE MAS INDONESIA,1
PT. INTERNUX,2
PT. ISUZU ASTRA MOTOR,1
PT. KALIMANTAN PRIMA PERSADA,1
"PT. LINK NET, TBK",1
PT. MARGA MANDALA SAKTI,1
PT. MEGA CAPITAL INDONESIA,1
PT. NESTLE INDOFOOD CITARASA,1
PT. PURINUSA EKA,1
PT. PURINUSA EKA PERSADA,1
PT. SALIM IVOMAS PRATAMA,1
"PT. SALIM IVOMAS PRATAMA, TBK",1
PT. SINAR MAS AGRO RESOURCES,1
PT. SINARMAS SENTRA CIPTA,1
PT. TRANS MEDIA SOSIAL,1
PT. VAYATOUR,1
PT.AGRANET MULTICITRA SIBERKOM,1
PT.VISIONET DATA INTERNASIONAL,1
SILOAM HOSPITALS GROUP,1
SINARMAS ENERGY AND MINING,1
SINARMAS LAND,1
SUZUKI FINANCE INDONESIA PT,1
TOYOTA ASTRA FINANCIAL,1
"TRANS ICE, PT",1
"TRANS MART, PT",1
UNIVERSITAS BRAWIJAYA,2
UNIVERSITAS DIPONEGORO,1
UNIVERSITAS HASANUDDIN,1
UNIVERSITAS INDONESIA-FKM-UKK,1
UNIVERSITAS PELITA HARAPAN,1
T0012343,41
BADAN PENYELENGGARA JAMINAN,1
BAHANA PEMBINAAN USAHA,1
INDONESIA INVESTMENT AUTHORITY,1
KUSTODIAN SENTRAL EFEK IND,1
LEMBAGA PENJAMIN SIMPANAN,1
PT ASURANSI AIOI INDONESIA,1
PT ASURANSI BUMI ASIH JAYA,1
PT ASURANSI CENTRAL ASIA,1
PT ASURANSI JASA INDONESIA,1
PT ASURANSI JASA RAHARJA,1
PT ASURANSI JASARAHARJA PUTERA,1
PT ASURANSI JIWA ADISARANA,1
PT ASURANSI JIWA JOHN HANCOCK,1
PT ASURANSI JIWA KRESNA,1
PT ASURANSI JIWA TUGU MANDIRI,1
PT ASURANSI JIWASRAYA,1
PT ASURANSI KREDIT INDONESIA,1
PT ASURANSI MSIG INDONESIA,3
PT ASURANSI SOSIAL ABRI,1
PT BAHANA ARTHA VENTURA,1
PT BAHANA SECURITIES,1
PT BAHANA TCW INVESTMENT,1
PT BURSA EFEK INDONESIA,1
PT BUSSAN AUTO FINANCE,1
PT KARUNIA ALAM SEGAR,1
PT KLIRING PENJAMINAN EFEK,1
PT MITSUI INDONESIA,1
PT PEMERINGKAT EFEK INDONESIA,1
PT PERMODALAN NASIONAL,1
PT SARANA MULTI INFRASTRUKTUR,1
PT TASPEN (PERSERO),3
PT. ASURANSI KREDIT INDONESIA,1
PT. JASA RAHARJA (PERSERO),1
PT. MITRA TRANSAKSI INDONESIA,1
PT. PEFINDO BIRO KREDIT,1
PT. PEGADAIAN,1
PT. PEGADAIAN GALERI DUA EMPAT,1
Select Client BPST - New,14
T0012333,1
PT. MAYBANK INDONESIA FINANCE,1
T0012340,4
PT INDIKA ENERGY TBK,1
PT KIDECO JAYA AGUNG,1
PT MITRA BAHTERA SEGARA SEJATI,1
PT. MEDCO INTIDINAMIKA,1
T0012343,9
AJB BUMI PUTERA 1912,1
AJB BUMIPUTERA 1912,1
ASURANSI JIWA BERSAMA,1
PT COLUMBINDO PERDANA,1
"PT KRESNA GRAHA INVESTAMA, TBK",1
PT MNC LIFE ASSURANCE,1
PT. BFI FINANCE INDONESIA	 TBK,1
PT. BNI LIFE INSURANCE,1
PT. SARATOGA,1
Indonesia ST-BPS-S2,233
Select Client BPST - Existing,225
T0012334,27
BANK DAGANG NEGARA,1
BANK SYARIAH INDONESIA TBK.,3
LEMBAGA PEMBIAYAAN EKSPOR,2
MANDIRI SEKURITAS,1
PT ASURANSI JIWA INHEALTH,1
PT BANK MANDIRI (PERSERO),9
PT BANK MANDIRI (PERSERO) EKS,1
PT BANK MANDIRI (PERSERO) TBK,1
PT BANK MANDIRI TASPEN,1
PT BANK MUAMALAT INDONESIA,1
PT MANDIRI AXA GENERAL,1
PT MULTIPOLAR TECHNOLOGY TBK,1
PT. BANK DKI,1
PT. BANK MANDIRI TASPEN POS,1
PT. MANDIRI TUNAS FINANCE,1
PT. MANDIRI UTAMA FINANCE,1
T0012339,165
"ADMINISTRASI MEDIKA, PT",1
AKADEMI TELEKOMUNIKASI,1
ASDP INDONESIA FERRY,1
BADAN PENGELOLA TABUNGAN,1
BUT. SAKA INDONESIA PANGKAH,1
CNOOC SES LTD,1
GAGAS ENERGI INDONESIA,1
INDOSAT MEGA MEDIA,1
JOB PERTAMINA MEDCO TOMORI,1
JOB PERTAMINA TALISMAN,1
MATAHARI LINTAS CAKRAWALA,1
"MEDIATAMA ANUGRAH CITRA, PT",1
MIDTRANS PT,1
"MNC KABEL MEDIACOM, PT",1
MULTI ADIPRAKARSA MANUNGGAL,1
PERTAMINA DIREKTORAT EP,1
"PERTAMINA EP, PT",1
PERTAMINA UJUNG PANDANG,1
PERTAMINA UP IV CILACAP,1
PERTAMINA UP.II DUMAI,1
PLN 3 PADANG,1
PLN DISTR 12 JAWA TIMUR,1
PLN JAYA TANGERANG,1
PLN MEDAN,1
PLN PUSDIKLAT,1
PLN WIL.II MEDAN,1
PLN/UJUNG PANDANG,1
PT (PERSERO) GAS NEGARA,1
PT ABHIMATA CITRA ABADI,1
PT ABHIMATA PERSADA,1
PT ANABATIC TECHNOLOGIES,1
PT ANABATIC TECHNOLOGIES TBK,1
PT APLIKANUSA LINTASARTA,1
PT BINAREKA TATAMANDIRI,5
PT BLUE POWER TECHNOLOGY,4
PT BUMI SIAK PUSAKO-PERTAMINA,1
PT COLLEGA INTI PRATAMA,3
PT COMPUTRADE INDONESIA,1
PT COMPUTRADE TECHNOLOGY,2
PT ELNUSA GEOSAINS,1
PT ELNUSA TBK,1
PT ELNUSA TELEMATIKA,1
PT FINNET INDONESIA,1
PT GLOBAL INFORMASI BERMUTU,1
PT GRAHA INFORMATIKA NUSANTARA,1
PT INDONESIA COMNET PLUS,1
PT INDOSAT TBK,3
PT INDOSIAR VISUAL MANDIRI,1
PT INDUSTRI TELEKOMUNIKASI,1
PT INFOKOM ELEKTRINDO,1
PT INFOMEDIA NUSANTARA,1
PT KOMPAS MEDIA NUSANTARA,1
PT MEDIA NUSANTARA CITRA TBK,1
PT METRANET,1
PT METRODATA E BISNIS,1
PT METRODATA E-BISNIS,1
PT METRODATA ELECTRONICS,1
PT METRODATA ELECTRONICS TBK,1
PT MITRA INFOSARANA,2
PT MITRA INTEGRASI INFORMATIKA,4
PT MNC SKYVISION,1
PT MULTI ADIPRAKARSA MANUNGGAL,1
PT MULTIMEDIA NUSANTARA,1
PT PEMBANGKITAN JAWA BALI,1
PT PEMBANGUNAN JAYA ANCOL TBK,2
PT PERTAMINA,1
PT PERTAMINA (PERSERO),1
PT PERTAMINA BINA MEDIKA IHC,1
PT PERTAMINA EP,1
PT PERTAMINA EPTC,1
PT PERTAMINA GEOTHERMAL ENERGY,1
PT PERTAMINA HULU ENERGI,1
PT PERTAMINA HULU ENERGI OSES,1
PT PERTAMINA HULU MAHAKAM,1
PT PERUSAHAAN GAS NEGARA,1
PT PINS INDONESIA,1
PT PJB SERVICES,1
PT PLN (PERSERO) DISTRIBUSI,1
PT PLN (PERSERO) UBS P3B,1
PT PLN BATAM,1
PT PLN(PERSERO)PENYALURAN DAN,1
PT RAJAWALI CITRA TELEVISI IND,1
PT REASURANSI INDONESIA UTAMA,1
PT SIGMA CIPTA CARAKA,9
PT SIGMA CIPTA UTAMA,1
PT SIGMA KARYA SEMPURNA,1
PT SIGMA METRASYS SOLUTIONS,1
PT SURYA CITRA TELEVISI,1
PT TELEKOMUNIKASI INDONESIA,9
PT TELEKOMUNIKASI INDONESIA TB,1
PT TELEKOMUNIKASI SELULAR -,1
PT TELKOM AKSES,1
PT TELKOM INDONESIA TBK PROBIS,1
PT TUGU PRATAMA INDONESIA,1
PT XDC INDONESIA,1
PT. AETERNIT INTERNATIONAL,1
PT. APLIKANUSA LINTASARTA,1
PT. COLLEGA INTI PRATAMA,1
PT. DAYAMITRA TELEKOMUNIKASI,1
PT. DIGITAL VISION NUSANTARA,1
PT. GOTO GOJEK TOKOPEDIA,1
PT. INDONESIA POWER,1
PT. INDOSAT TBK,1
PT. INFRASTRUKTUR,1
PT. KREATIF MEDIA KARYA,1
PT. LAPI ITB,1
PT. MEDIA NUSANTARA INFORMASI,1
PT. NIAGAPRIMA PARAMITRA,2
PT. PAITON ENERGY,1
PT. PEMBANGKITAN JAWA BALI,1
PT. PERTAMINA GAS,1
PT. PERTAMINA HULU,1
PT. PERTAMINA HULU ENERGI,1
PT. PERTAMINA HULU ROKAN,1
PT. PERUSAHAAN LISTRIK NEGARA,1
PT. PGAS SOLUTION,1
PT. PGAS TELEKOMUNIKASI,1
PT. PLN P2B,1
PT. TELEKOMUNIKASI INDONESIA,1
PT. TELEKOMUNIKASI SELULAR,1
PT. TELKOM DATA EKOSISTEM,1
PT. TELKOM INDONESIA (PERSERO),1
PT. TELTRANET APLIKASI SOLUSI,1
PT. TRI ADI BERSAMA,1
PT. WIJAYA KARYA (PERSERO) TBK,1
PT.BANK RIAU KEPRI,1
PT.INDONESIA COMNET PLUS,1
PT.SIGMA METRASYS SOLUTION,1
PT.TELEKOMUNIKASI SELULAR,1
SATUAN KERJA KHUSUS PELAKSANA,1
SINDOTV,1
T0012345,20
ASURANSI BANGUN ASKRIDA PT,1
ASURANSI MITRA MAPARYA,1
ASURANSI RAMAYANA PT TBK,1
"ASURANSI WAHANA TATA, PT",1
BPJS KESEHATAN,1
BPJS KETENAGAKERJAAN,1
PT AJ MANULIFE INDONESIA,3
PT ASKES (PERSERO),1
PT ASURANSI ALLIANZ LIFE IND,1
PT ASURANSI ALLIANZ UTAMA,1
PT ASURANSI JIWA SEQUIS,1
PT ASURANSI JIWA SEQUIS LIFE,2
PT EASTSPRING INVESTMENTS,1
PT PRUDENTIAL LIFE ASSURANCE,1
PT. ASKES (PERSERO),1
PT. ASURANSI JIWA SEQUIS,1
PT. CHUBB GENERAL INSURANCE,1
T0012346,13
PT AIA FINANCIAL,1
PT ASURANSI AXA INDONESIA,1
PT ASURANSI JIWA GENERALI,1
PT AXA FINANCIAL INDONESIA,1
PT AXA GROUP OPERATIONS,1
PT AXA SERVICES INDONESIA,2
PT CIMB SUN LIFE,2
PT. AXA LIFE INDONESIA,1
PT. AXA MANDIRI FINANCIAL,1
PT. SUN LIFE INDONESIA,1
PT.SUN LIFE FINANCIAL,1
Select Client BPST - New,8
T0012339,8
PT BAKRIE COMMUNICATIONS CORP,1
PT BUMI RESOURCES TBK,1
PT GRAMEDIA ASRI MEDIA,1
PT HIPERNET INDODATA,1
PT MEDIA TELEVISI INDONESIA,1
PT. MASTERSYSTEM INFOTAMA,1
PT. SAT NUSAPERSADA TBK,1
PT. TOWER BERSAMA,1
Indonesia ST-BPS-S3,263
Select Client BPST - Existing,217
T0012335,33
T0012336,38
BANK ARTA NIAGA KENCANA,1
BANK COMMONWEALTH,2
"BANK NAGARI, PT",1
BANK NUSANTARA PARAHYANGAN,1
"BUT. MUFG BANK, LTD",1
CIMB SECURITIES INDONESIA PT,1
CITIBANK N.A,1
CITIBANK NA (GLOBAL CONSUMER),1
"JCB CO., LTD",1
PT BANK ANZ INDONESIA,1
PT BANK CIMB NIAGA TBK,3
PT BANK PERMATA TBK,5
PT BANK UOB BUANA,1
PT BANK UOB BUANA TBK,1
PT BANK UOB INDONESIA,1
PT BANK VICTORIA INTERNATIONAL,1
PT BTMU - BRI FINANCE,1
PT CIMB NIAGA AUTO FINANCE,1
PT CITICORP FINANCE INDONESIA,1
PT FIRST STATE INVESTMENTS,1
"PT PAN INDONESIA BANK, TBK",1
PT PANIN DAI-ICHI LIFE,1
PT UOB KAY HIAN SECURITIES,1
PT. BANK NIAGA TBK,1
PT. BANK PANIN,1
"PT. BANK PANIN DUBAI SYARIAH,",1
PT. BANK PANIN SYARIAH,1
PT. BANK PERMATA TBK,1
PT. CITIGROUP SECURITIES,1
PT. CLIPAN FINANCE INDONESIA,1
PT. PANIN ASSET MANAGEMENT,1
T0012342,66
BADAN PENGKAJIAN DAN PENERAPAN,1
KALBE NUTRITIONALS,1
KALBIS INSTITUTE CAMPUS,1
KSO TERMINAL PETIKEMAS KOJA,1
PERSEROAN TERBATAS,1
PT  SAMPOERNA TELEKOMUNIKASI,1
PT (PERSERO) ANGKASA PURA I,1
PT AERO SYSTEMS INDONESIA,1
PT ANGKASA PURA II (PERSERO),1
PT BHANDA GHARA REKSA,1
PT BINTANG TOEDJOE,1
PT CITILINK INDONESIA,1
PT COCA COLA AMATIL INDONESIA,1
PT COCA COLA BOTTLING,1
PT COCA COLA INDONESIA,1
PT ENSEVAL PUTERA MEGATRADING,1
PT GARUDA INDONESIA (PERSERO),1
PT GARUDA MAINTENANCE FACILITY,1
PT HANJAYA MANDALA SAMPOERNA,1
PT KALBE FARMA TBK,2
PT MITRA ADIPERKASA TBK,1
PT PANEN LESTARI INTERNUSA,1
PT PATRA JASA,1
PT RAJAWALI NUSINDO,1
PT SAMPOERNA AGRO TBK,1
PT SAMPOERNA INVESTAMA,1
PT SAMPOERNA PRINTPACK,2
PT SAMPOERNA STRATEGIC,1
PT SAMUDERA INDONESIA TBK,1
PT SANGHIANG PERKASA,1
PT SARINAH (PERSERO),1
PT SRI REJEKI ISMAN (SRITEX),1
PT SUCOFINDO,1
PT SUMBER GRAHA SEJAHTERA,1
PT SUPRA BOGA LESTARI,2
PT TEMPO,1
PT TEMPO CENTRA MANAGEMENT,1
PT TEMPO DATA SYSTEM,1
PT TEMPO SCAN PACIFIC TBK,1
PT TERMINAL PETIKEMAS SURABAYA,1
PT. BERSAMA KARUNIA MANDIRI,1
PT. CREASI MODE INDONESIA,1
PT. DOM PIZZA INDONESIA,1
PT. GTECH DIGITAL ASIA,1
PT. INTEGRASI LOGISTIK CIPTA,1
PT. MITRA FASHINDO ABADI,1
PT. MITRAMODE DUTA FASHINDO,1
PT. NEW PRIOK CONTAINER,1
PT. OMEGA FASHINDO ADIPERKASA,1
PT. PERUSAHAAN PERSEROAN (PERS,1
PT. PHILIP MORRIS SAMPOERNA,1
PT. PRIMA BUANA PERKASA,1
PT. SARIMODE FASHINDO,1
PT. SARIMODE GRIYA,1
PT. SRIWIJAYA AIR,1
PT. SUKSES DIVA MANDIRI,1
PT.MAP AKTIF ADIPERKASA TBK,1
PT.MITRA SELARAS SEMPURNA,1
PT.SARI BURGER INDONESIA,1
PT.SARI COFFEE INDONESIA,1
RS MITRA KELUARGA,1
"SANGHIANG PERKASA,PT",1
TERMINAL PETIKEMAS SEMARANG,1
T0012344,80
"BHIRAWA STEEL, PT",1
BIRO KLASIFIKASI INDONESIA,1
BUT CHEVRON INDONESIA COMPANY,1
BUT. CHEVRON GANAL LTD,1
CHEVRON MAKASSAR LTD,1
CHEVRON RAPAK LTD,1
DOK & PERKAPALAN KODJA BAHARI,1
HONDA PRECISION PARTS,1
"HONDA R&D SOUTHEAST ASIA CO.,",1
LG ELECTRONICS INDONESIA,1
PT AISIN INDONESIA,1
PT ANTAM TBK,1
PT ASAHIMAS CHEMICAL,1
PT ASAHIMAS FLAT GLASS TBK,1
PT ATSUMITEC INDONESIA,1
